x,time,time
30000,0.145,0.095
30100,0.146,0.096
30200,0.146,0.124
30300,0.146,0.125
30400,0.147,0.125
30500,0.147,0.126
30600,0.148,0.127
30700,0.148,0.128
30800,0.149,0.129
30900,0.149,0.13
31000,0.15,0.131
31100,0.15,0.132
31200,0.15,0.133
31300,0.151,0.133
31400,0.151,0.134
31500,0.152,0.134
31600,0.152,0.135
31700,0.153,0.135
31800,0.153,0.136
31900,0.154,0.136
32000,0.155,0.137
32100,0.155,0.138
32200,0.156,0.139
32300,0.157,0.14
32400,0.157,0.14
32500,0.158,0.141
32600,0.158,0.141
32700,0.159,0.141
32800,0.159,0.142
32900,0.16,0.142
33000,0.16,0.143
33100,0.161,0.143
33200,0.162,0.144
33300,0.162,0.144
33400,0.163,0.144
33500,0.163,0.145
33600,0.164,0.145
33700,0.165,0.146
33800,0.165,0.147
33900,0.166,0.148
34000,0.166,0.148
34100,0.167,0.149
34200,0.167,0.15
34300,0.168,0.15
34400,0.169,0.151
34500,0.17,0.153
34600,0.171,0.154
34700,0.172,0.155
34800,0.172,0.155
34900,0.173,0.156
35000,0.174,0.157
35100,0.174,0.157
35200,0.175,0.158
35300,0.176,0.158
35400,0.176,0.159
35500,0.177,0.159
35600,0.177,0.16
35700,0.177,0.16
35800,0.178,0.161
35900,0.179,0.161
36000,0.179,0.162
36100,0.18,0.163
36200,0.181,0.163
36300,0.181,0.164
36400,0.182,0.164
36500,0.183,0.165
36600,0.184,0.166
36700,0.184,0.166
36800,0.184,0.167
36900,0.185,0.167
37000,0.186,0.167
37100,0.187,0.168
37200,0.187,0.168
37300,0.188,0.169
37400,0.188,0.169
37500,0.189,0.17
37600,0.189,0.17
37700,0.19,0.171
37800,0.19,0.171
37900,0.191,0.172
38000,0.191,0.173
38100,0.191,0.174
38200,0.192,0.175
38300,0.193,0.175
38400,0.193,0.175
38500,0.194,0.176
38600,0.196,0.176
38700,0.196,0.177
38800,0.197,0.177
38900,0.197,0.178
39000,0.198,0.178
39100,0.198,0.179
39200,0.198,0.179
39300,0.199,0.18
39400,0.2,0.181
39500,0.201,0.181
39600,0.202,0.182
39700,0.203,0.182
39800,0.204,0.183
39900,0.204,0.183
40000,0.205,0.184
40100,0.205,0.184
40200,0.206,0.185
40300,0.206,0.186
40400,0.207,0.187
40500,0.208,0.188
40600,0.209,0.189
40700,0.211,0.189
40800,0.211,0.19
40900,0.212,0.19
41000,0.212,0.191
41100,0.212,0.192
41200,0.213,0.192
41300,0.214,0.193
41400,0.215,0.194
41500,0.215,0.195
41600,0.216,0.195
41700,0.217,0.195
41800,0.218,0.196
41900,0.219,0.196
42000,0.22,0.197
42100,0.22,0.197
42200,0.221,0.198
42300,0.222,0.199
42400,0.223,0.199
42500,0.223,0.2
42600,0.224,0.201
42700,0.225,0.202
42800,0.225,0.203
42900,0.226,0.203
43000,0.226,0.204
43100,0.227,0.204
43200,0.228,0.205
43300,0.229,0.205
43400,0.23,0.207
43500,0.231,0.208
43600,0.232,0.209
43700,0.232,0.21
43800,0.233,0.21
43900,0.233,0.211
44000,0.234,0.211
44100,0.235,0.212
44200,0.236,0.212
44300,0.237,0.213
44400,0.238,0.214
44500,0.239,0.215
44600,0.24,0.216
44700,0.24,0.216
44800,0.241,0.217
